Unnamed: 0,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Alabama,4040389,4091025,4139269,4193114,4232965,4262731,4290403,4320281,4351037,4369862,4451687,4462832,4469906,4486598,4506574,4537299,4587564, 4626595 , 4661900 , 4708708 , 4785448 , 4798834 , 4815564 , 4830460 , 4842481 , 4853160 , 4864745 , 4875120 , 4887871 , 4903185 , 4921532 
Alaska,550043,569273,587073,596993,600624,601345,604918,608846,615205,619500,627428,633160,642391,650426,660975,668625,676301, 681111 , 686293 , 698473 , 713906 , 722038 , 730399 , 737045 , 736307 , 737547 , 741504 , 739786 , 737438 , 731545 , 731158 
Arizona,3665339,3762394,3867333,3993390,4147561,4306908,4432308,4552207,4667277,4778332,5166810,5303632,5449195,5585512,5750475,5961239,6178251, 6353421 , 6500180 , 6595778 , 6407774 , 6473497 , 6556629 , 6634999 , 6733840 , 6833596 , 6945452 , 7048876 , 7171646 , 7278717 , 7421401 
Arkansas,2350624,2370666,2394098,2423743,2450605,2480121,2504858,2524007,2538202,2551373,2678217,2689601,2701889,2717909,2740191,2768918,2804199, 2830557 , 2855390 , 2889450 , 2921978 , 2940407 , 2952109 , 2959549 , 2967726 , 2978407 , 2990410 , 3002997 , 3013825 , 3017804 , 3030522 
California,29811427,30414114,30875920,31147208,31317179,31493525,31780829,32217708,32682794,33145121,33998767,34507030,34916495,35307398,35629666,35885415,36121296, 36377534 , 36756666 , 36961664 , 37320903 , 37641823 , 37960782 , 38280824 , 38625139 , 38953142 , 39209127 , 39399349 , 39557045 , 39512223 , 39368078 
Colorado,3294473,3367567,3459995,3560884,3653910,3738061,3812716,3891293,3968967,4056133,4327788,4431918,4503156,4548339,4600050,4662734,4751474, 4842770 , 4939456 , 5024748 , 5048281 , 5121771 , 5193721 , 5270482 , 5351218 , 5452107 , 5540921 , 5615902 , 5695564 , 5758736 , 5807719 
Connecticut,3287116,3288640,3274997,3272325,3268346,3265293,3267030,3268514,3272563,3282031,3411714,3428208,3448261,3467932,3475351,3478714,3487896, 3489868 , 3501252 , 3518288 , 3579125 , 3588023 , 3594395 , 3594915 , 3594783 , 3587509 , 3578674 , 3573880 , 3572665 , 3565287 , 3557006 
Delaware,666168,680495,690158,699475,708416,718265,727090,735024,744066,753538,786404,794498,803774,814262,825682,838519,850366, 861953 , 873092 , 885122 , 899595 , 907316 , 915188 , 923638 , 932596 , 941413 , 949216 , 957078 , 967171 , 973764 , 986809 
District of Columbia,606900,593239,584183,576358,564982,551273,538273,528752,521426,519000,571723,577678,579112,577371,579521,582049,585419, 587868 , 591833 , 599657 , 605085 , 619602 , 634725 , 650431 , 662513 , 675254 , 686575 , 695691 , 702455 , 705749 , 712816 
Florida,12938071,13289497,13504775,13713593,13961798,14185403,14426911,14683350,14908230,15111244,16047246,16340734,16652679,16937337,17313811,17702476,18019093, 18199526 , 18328340 , 18537969 , 18845785 , 19093352 , 19326230 , 19563166 , 19860330 , 20224249 , 20629982 , 20976812 , 21299325 , 21477737 , 21733312 
Georgia,6478149,6621279,6759474,6894092,7045900,7188538,7332225,7486094,7636522,7788240,8230053,8418592,8583674,8732924,8910741,9093958,9318715, 9523297 , 9685744 , 9829211 , 9711810 , 9801578 , 9901496 , 9973326 , 10069001 , 10181111 , 10304763 , 10413055 , 10519475 , 10617423 , 10710017 
Hawaii,1108229,1131412,1149926,1161508,1173903,1180490,1184434,1189322,1190472,1185497,1211479,1217955,1227391,1238333,1251532,1264468,1275264, 1277356 , 1288198 , 1295178 , 1363963 , 1379252 , 1394905 , 1408453 , 1414862 , 1422484 , 1428105 , 1424203 , 1420491 , 1415872 , 1407006 
Idaho,1006734,1038915,1066490,1101204,1135459,1165000,1187706,1210638,1230923,1251700,1299474,1320732,1341408,1363010,1390329,1424127,1461183, 1496145 , 1523816 , 1545801 , 1570773 , 1583828 , 1595441 , 1611530 , 1631479 , 1651523 , 1682930 , 1718904 , 1754208 , 1787065 , 1826913 
Illinois,11430602,11535973,11635197,11725984,11804986,11884935,11953003,12011509,12069774,12128370,12437888,12510596,12565228,12611047,12665718,12704063,12759673, 12825809 , 12901563 , 12910409 , 12840762 , 12867291 , 12884119 , 12898269 , 12888962 , 12864342 , 12826895 , 12786196 , 12741080 , 12671821 , 12587530 
Indiana,5544156,5602062,5648649,5701965,5745626,5791819,5834908,5872370,5907617,5942901,6091392,6123942,6146974,6178828,6210801,6248569,6294124, 6335862 , 6376792 , 6423113 , 6490436 , 6516045 , 6537640 , 6568367 , 6593533 , 6608296 , 6633344 , 6660082 , 6691878 , 6732219 , 6754953 
Iowa,2776831,2791227,2806923,2820525,2829422,2840860,2848473,2854396,2861025,2869413,2928046,2929294,2929395,2933407,2942739,2951775,2967270, 2983360 , 3002555 , 3007856 , 3050767 , 3066054 , 3076097 , 3093078 , 3109504 , 3121460 , 3131785 , 3143637 , 3156145 , 3155070 , 3163561 
Kansas,2477588,2495209,2526042,2547605,2569118,2586942,2598266,2616339,2638667,2654052,2692681,2701346,2712561,2722070,2731069,2742204,2756267, 2777382 , 2802134 , 2818747 , 2858213 , 2869035 , 2885361 , 2893510 , 2900896 , 2909502 , 2911263 , 2910689 , 2911505 , 2913314 , 2913805 
Kentucky,3686892,3714686,3756358,3792288,3823215,3855248,3881051,3907816,3934310,3960825,4048831,4066442,4086754,4110922,4135567,4165958,4199440, 4236308 , 4269245 , 4314113 , 4348200 , 4369488 , 4386381 , 4404817 , 4414483 , 4425999 , 4438229 , 4453874 , 4468402 , 4467673 , 4477251 
Louisiana,4221826,4240950,4270849,4284749,4306500,4327978,4338763,4351390,4362758,4372035,4468879,4460395,4465215,4473558,4487830,4495627,4243634, 4373310 , 4410796 , 4492076 , 4544532 , 4575184 , 4600814 , 4624577 , 4644204 , 4664851 , 4678215 , 4670818 , 4659978 , 4648794 , 4645318 
Maine,1227928,1235439,1235748,1238256,1237687,1237438,1241436,1245215,1247554,1253040,1277179,1284663,1293667,1302729,1307904,1311044,1313355, 1315398 , 1316456 , 1318301 , 1327632 , 1328150 , 1327691 , 1328196 , 1330760 , 1328484 , 1331370 , 1335063 , 1338404 , 1344212 , 1350141 
Maryland,4780753,4856176,4902545,4942504,4985411,5023650,5057142,5092914,5130072,5171634,5310451,5375659,5439327,5495009,5538989,5575552,5602258, 5618899 , 5633597 , 5699478 , 5788642 , 5838991 , 5887072 , 5923704 , 5958165 , 5986717 , 6004692 , 6024891 , 6042718 , 6045680 , 6055802 
Massachusetts,6016425,5998652,5993474,6010884,6031352,6062335,6085393,6115476,6144407,6175169,6362583,6407269,6433043,6441440,6437414,6434343,6443424, 6467915 , 6497967 , 6593587 , 6566431 , 6613149 , 6663158 , 6713944 , 6763652 , 6795891 , 6826022 , 6863246 , 6902149 , 6892503 , 6893574 
Michigan,9295287,9395022,9470323,9529240,9584481,9659871,9739184,9785450,9820231,9863775,9955146,10004341,10037303,10065881,10090280,10093266,10083878, 10049790 , 10003422 , 9969727 , 9877535 , 9881521 , 9896930 , 9913349 , 9930589 , 9932573 , 9951890 , 9976447 , 9995915 , 9986857 , 9966555 
Minnesota,4375665,4427429,4471503,4521709,4566028,4605445,4647723,4687726,4726411,4775508,4933787,4982339,5016643,5046708,5078014,5104890,5143134, 5182360 , 5220393 , 5266214 , 5310843 , 5345668 , 5376550 , 5413693 , 5451522 , 5482503 , 5523409 , 5568155 , 5611179 , 5639632 , 5657342 
Mississippi,2575475,2591230,2610193,2635574,2663450,2690788,2709925,2731826,2751335,2768619,2848293,2853061,2858013,2866711,2884596,2898209,2896713, 2921030 , 2938618 , 2951996 , 2970536 , 2978470 , 2983767 , 2988797 , 2990623 , 2988693 , 2988298 , 2989663 , 2986530 , 2976149 , 2966786 
Missouri,5116901,5157770,5193686,5237757,5281206,5324610,5367888,5407113,5437562,5468338,5605868,5641994,5675641,5704639,5742650,5785130,5832977, 5878399 , 5911605 , 5987580 , 5995976 , 6009641 , 6024081 , 6040658 , 6056293 , 6071745 , 6087203 , 6108612 , 6126452 , 6137428 , 6151548 
Montana,799065,807837,822436,839876,854923,868522,876656,878706,879533,882779,903283,905854,909859,916754,925969,934888,945428, 956624 , 967440 , 974989 , 990722 , 997221 , 1003754 , 1013564 , 1021891 , 1030503 , 1040863 , 1053090 , 1062305 , 1068778 , 1080577 
Nebraska,1578417,1590805,1602406,1612149,1621551,1635142,1647657,1656042,1660772,1666028,1713194,1717705,1724236,1732873,1741450,1751069,1759779, 1769473 , 1783432 , 1796619 , 1829536 , 1840538 , 1853323 , 1865414 , 1879522 , 1891507 , 1905924 , 1917575 , 1929268 , 1934408 , 1937552 
Nevada,1201675,1285046,1330694,1380197,1456388,1525777,1596476,1675581,1743772,1809253,2018244,2093973,2164518,2233830,2323875,2401671,2484196, 2554344 , 2600167 , 2643085 , 2702464 , 2712799 , 2744566 , 2776972 , 2819012 , 2868666 , 2919772 , 2972405 , 3034392 , 3080156 , 3138259 
New Hampshire,1109252,1107055,1112766,1122191,1133054,1145604,1160768,1173239,1185823,1201134,1240361,1256625,1270701,1281260,1292064,1300530,1308824, 1312256 , 1315809 , 1324575 , 1316777 , 1319815 , 1323962 , 1326408 , 1333223 , 1336294 , 1342373 , 1349767 , 1356458 , 1359711 , 1366275 
New Jersey,7747750,7784269,7827770,7874891,7918796,7965523,8009624,8054178,8095542,8143412,8430913,8490942,8547410,8589562,8620770,8634657,8640218, 8653126 , 8682661 , 8707739 , 8799624 , 8827783 , 8845483 , 8858362 , 8866780 , 8870869 , 8874516 , 8888543 , 8908520 , 8882190 , 8882371 
New Mexico,1515069,1547115,1580750,1614937,1653329,1682417,1706151,1722939,1733535,1739844,1820704,1828330,1848986,1867909,1889266,1912884,1937916, 1964402 , 1984356 , 2009671 , 2064588 , 2080395 , 2087549 , 2092792 , 2090342 , 2090211 , 2092789 , 2093395 , 2095428 , 2096829 , 2106319 
New York,17990778,18029532,18082032,18140894,18156652,18150928,18143805,18143184,18159175,18196601,18998429,19088220,19161573,19230877,19301113,19336376,19367028, 19429316 , 19490297 , 19541453 , 19400080 , 19498514 , 19574549 , 19628043 , 19656330 , 19661411 , 19641589 , 19590719 , 19542209 , 19453561 , 19336776 
North Carolina,6632448,6748135,6831850,6947412,7060959,7185403,7307658,7428672,7545828,7650789,8078824,8199913,8311263,8409660,8523199,8661061,8845343, 9041594 , 9222414 , 9380884 , 9574293 , 9656754 , 9749123 , 9843599 , 9933944 , 10033079 , 10156679 , 10270800 , 10383620 , 10488084 , 10600823 
North Dakota,638800,634199,635427,637229,639762,641548,642858,640945,637808,633666,641183,636211,633521,632689,636196,635222,636453, 637904 , 641481 , 646844 , 674710 , 685136 , 701116 , 721999 , 737382 , 754022 , 754353 , 755176 , 760077 , 762062 , 765309 
Ohio,10847115,10933683,11007609,11070385,11111451,11155493,11187032,11212498,11237752,11256654,11363719,11391298,11410582,11430306,11445095,11450954,11458390, 11477641 , 11485910 , 11542645 , 11539327 , 11543463 , 11548369 , 11576576 , 11602973 , 11617850 , 11635003 , 11664129 , 11689442 , 11689100 , 11693217 
Oklahoma,3145576,3166471,3204174,3228829,3246119,3265547,3289634,3314259,3339478,3358044,3453861,3463387,3482946,3496157,3511960,3530087,3568132, 3608123 , 3642361 , 3687050 , 3759632 , 3787821 , 3818600 , 3853205 , 3878367 , 3909831 , 3926769 , 3932640 , 3943079 , 3956971 , 3980783 
Oregon,2842337,2918745,2973934,3034490,3087142,3141421,3195087,3243254,3282055,3316154,3430828,3470716,3517982,3551877,3576262,3621939,3680968, 3735549 , 3790060 , 3825657 , 3837532 , 3871728 , 3899118 , 3922908 , 3964106 , 4016918 , 4091404 , 4146592 , 4190713 , 4217737 , 4241507 
Pennsylvania,11882842,11943160,11980819,12022128,12042545,12044780,12038008,12015888,12002329,11994016,12285041,12284522,12298775,12317647,12335652,12351881,12388055, 12419930 , 12448279 , 12604767 , 12711158 , 12744583 , 12766827 , 12776621 , 12789101 , 12785759 , 12783538 , 12790447 , 12807060 , 12801989 , 12783254 
Rhode Island,1003464,1003990,1000571,997852,993412,989203,987858,986966,987704,990819,1050725,1058065,1065937,1071302,1071095,1064439,1058991, 1053136 , 1050788 , 1053209 , 1053938 , 1053536 , 1054601 , 1055122 , 1056017 , 1056173 , 1057063 , 1056486 , 1057315 , 1059361 , 1057125 
South Carolina,3486310,3559470,3600576,3634507,3666456,3699943,3738974,3790066,3839578,3885736,4023396,4061844,4102211,4143420,4196799,4249385,4324799, 4404914 , 4479800 , 4561242 , 4635656 , 4671422 , 4717112 , 4764153 , 4823793 , 4892253 , 4958235 , 5021219 , 5084127 , 5148714 , 5218040 
South Dakota,696004,701445,708698,716258,723038,728251,730699,730855,730789,733133,755657,758705,761709,766440,773539,779315,787380, 795689 , 804194 , 812383 , 816165 , 823484 , 833496 , 842270 , 849088 , 853933 , 862890 , 873286 , 882235 , 884659 , 892717 
Tennessee,4877203,4946886,5013999,5085666,5163016,5241168,5313576,5378433,5432679,5483535,5703094,5753497,5799093,5849563,5906936,5983211,6068306, 6149116 , 6214888 , 6296254 , 6355301 , 6397410 , 6451281 , 6493432 , 6540826 , 6590808 , 6645011 , 6708794 , 6770010 , 6829174 , 6886834 
Texas,16986335,17339904,17650479,17996764,18338319,18679706,19006240,19355427,19712389,20044141,20946049,21333928,21713397,22062119,22424884,22811128,23367534, 23843432 , 24326974 , 24782302 , 25242679 , 25646227 , 26089620 , 26489464 , 26977142 , 27486814 , 27937492 , 28322717 , 28701845 , 28995881 , 29360759 
Utah,1722850,1771941,1821498,1875993,1930436,1976774,2022253,2065397,2100562,2129836,2244210,2291066,2334462,2380462,2439852,2501262,2585155, 2668925 , 2736424 , 2784572 , 2775334 , 2814216 , 2853467 , 2897927 , 2937399 , 2982497 , 3042613 , 3103118 , 3161105 , 3205958 , 3249879 
Vermont,562758,567141,570115,574004,578900,582827,586352,588665,590579,593740,609876,612134,614994,616702,618432,619282,620196, 620748 , 621270 , 621760 , 625880 , 626979 , 626063 , 626212 , 625218 , 625197 , 623644 , 624525 , 626299 , 623989 , 623347 
Virginia,6189197,6283853,6383315,6464795,6536771,6601392,6665491,6732878,6789225,6872912,7104354,7188251,7276785,7363300,7454688,7546725,7628347, 7698775 , 7769089 , 7882590 , 8023680 , 8100469 , 8185229 , 8253053 , 8312076 , 8362907 , 8410946 , 8465207 , 8517685 , 8535519 , 8590563 
Washington,4866669,5013443,5139011,5247704,5334896,5431024,5509963,5604105,5687832,5756361,5911104,5987181,6055613,6110202,6179645,6254579,6360529, 6449511 , 6549224 , 6664195 , 6742902 , 6821655 , 6892876 , 6962906 , 7052439 , 7163543 , 7294680 , 7425432 , 7535591 , 7614893 , 7693612 
West Virginia,1793477,1798212,1805462,1816179,1818490,1820560,1818983,1815588,1811688,1806928,1806977,1798540,1799392,1802287,1803312,1804020,1806760, 1809836 , 1814468 , 1819777 , 1854214 , 1856074 , 1856764 , 1853873 , 1849467 , 1841996 , 1830929 , 1817048 , 1805832 , 1792147 , 1784787 
Wisconsin,4891954,4952675,5004636,5055318,5095504,5137004,5173828,5200235,5222124,5250446,5374133,5408061,5444638,5474360,5508789,5538806,5568505, 5598893 , 5627967 , 5654774 , 5690479 , 5704755 , 5719855 , 5736952 , 5751974 , 5761406 , 5772958 , 5792051 , 5813568 , 5822434 , 5832655 
Wyoming,453589,457739,463491,469033,474982,478447,480085,480031,480045,479602,493963,492924,496969,499056,502816,506007,512573, 523252 , 532668 , 544270 , 564483 , 567224 , 576270 , 582123 , 582548 , 585668 , 584290 , 578934 , 577737 , 578759 , 582328 
